Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset
1,2007-05-01,83,50,67.0,14.0,51,56.0,0.0,2.0,0 days 04:48:00.000000000,0 days 18:49:00.000000000
1,2007-05-02,59,42,51.0,-3.0,42,47.0,14.0,0.0,0 days 04:47:00.000000000,0 days 18:50:00.000000000
1,2007-05-03,66,46,56.0,2.0,40,48.0,9.0,0.0,0 days 04:46:00.000000000,0 days 18:51:00.000000000
1,2007-05-04,66,49,58.0,4.0,41,50.0,7.0,0.0,0 days 04:44:00.000000000,0 days 18:52:00.000000000
1,2007-05-05,66,53,60.0,5.0,38,49.0,5.0,0.0,0 days 04:43:00.000000000,0 days 18:53:00.000000000
1,2007-05-06,68,49,59.0,4.0,30,46.0,6.0,0.0,0 days 04:42:00.000000000,0 days 18:55:00.000000000
1,2007-05-07,83,47,65.0,10.0,41,54.0,0.0,0.0,0 days 04:41:00.000000000,0 days 18:56:00.000000000
1,2007-05-08,82,54,68.0,12.0,58,62.0,0.0,3.0,0 days 04:39:00.000000000,0 days 18:57:00.000000000
1,2007-05-09,77,61,69.0,13.0,59,63.0,0.0,4.0,0 days 04:38:00.000000000,0 days 18:58:00.000000000
1,2007-05-10,84,56,70.0,14.0,52,60.0,0.0,5.0,0 days 04:37:00.000000000,0 days 18:59:00.000000000
1,2007-05-11,70,51,61.0,4.0,42,51.0,4.0,0.0,0 days 04:36:00.000000000,0 days 19:00:00.000000000
1,2007-05-12,64,46,55.0,-2.0,36,46.0,10.0,0.0,0 days 04:35:00.000000000,0 days 19:01:00.000000000
1,2007-05-13,69,43,56.0,-2.0,33,46.0,9.0,0.0,0 days 04:34:00.000000000,0 days 19:02:00.000000000
1,2007-05-14,90,56,73.0,15.0,47,59.0,0.0,8.0,0 days 04:33:00.000000000,0 days 19:03:00.000000000
1,2007-05-15,80,57,69.0,11.0,56,61.0,0.0,4.0,0 days 04:32:00.000000000,0 days 19:04:00.000000000
1,2007-05-16,66,44,55.0,-4.0,43,48.0,10.0,0.0,0 days 04:31:00.000000000,0 days 19:05:00.000000000
1,2007-05-17,62,43,53.0,-6.0,32,43.0,12.0,0.0,0 days 04:30:00.000000000,0 days 19:06:00.000000000
1,2007-05-18,71,42,57.0,-3.0,30,46.0,8.0,0.0,0 days 04:29:00.000000000,0 days 19:07:00.000000000
1,2007-05-19,80,56,68.0,8.0,39,53.0,0.0,3.0,0 days 04:28:00.000000000,0 days 19:08:00.000000000
1,2007-05-20,69,43,56.0,-5.0,40,44.0,9.0,0.0,0 days 04:27:00.000000000,0 days 19:09:00.000000000
1,2007-05-21,80,44,62.0,1.0,50,56.0,3.0,0.0,0 days 04:26:00.000000000,0 days 19:10:00.000000000
1,2007-05-22,87,55,71.0,10.0,46,58.0,0.0,6.0,0 days 04:25:00.000000000,0 days 19:11:00.000000000
1,2007-05-23,89,60,75.0,14.0,49,61.0,0.0,10.0,0 days 04:25:00.000000000,0 days 19:12:00.000000000
1,2007-05-24,88,63,76.0,14.0,54,63.0,0.0,11.0,0 days 04:24:00.000000000,0 days 19:13:00.000000000
1,2007-05-25,70,56,63.0,1.0,44,53.0,2.0,0.0,0 days 04:23:00.000000000,0 days 19:14:00.000000000
1,2007-05-26,65,49,57.0,-5.0,55,56.0,8.0,0.0,0 days 04:22:00.000000000,0 days 19:15:00.000000000
1,2007-05-27,75,57,66.0,4.0,47,56.0,0.0,1.0,0 days 04:22:00.000000000,0 days 19:16:00.000000000
1,2007-05-28,79,50,65.0,2.0,47,56.0,0.0,0.0,0 days 04:21:00.000000000,0 days 19:16:00.000000000
1,2007-05-29,88,60,74.0,10.0,58,65.0,0.0,9.0,0 days 04:21:00.000000000,0 days 19:17:00.000000000
1,2007-05-30,87,66,77.0,13.0,58,65.0,0.0,12.0,0 days 04:20:00.000000000,0 days 19:18:00.000000000
1,2007-05-31,78,65,72.0,8.0,61,65.0,0.0,7.0,0 days 04:20:00.000000000,0 days 19:19:00.000000000
